loan_limit,Gender,approv_in_adv,loan_type,loan_purpose,Credit_Worthiness,open_credit,business_or_commercial,loan_amount,rate_of_interest,Interest_rate_spread,Upfront_charges,term,Neg_ammortization,interest_only,lump_sum_payment,property_value,construction_type,occupancy_type,Secured_by,total_units,income,credit_type,Credit_Score,co-applicant_credit_type,age,submission_of_application,LTV,Region,Security_Type,dtir1
cf,Female,nopre,type1,p3,l1,nopc,nob/c,296500,3.99,0.3394,4585.63,360.0,not_neg,not_int,not_lpsm,498000.0,sb,pr,home,1U,3540.0,CRIF,632,CIB,>74,to_inst,59.53815261,north,direct,40.0
cf,Male,nopre,type1,p4,l1,nopc,nob/c,606500,3.99,0.4278,877.41,360.0,not_neg,not_int,not_lpsm,818000.0,sb,pr,home,1U,7800.0,EXP,768,CIB,55-64,not_inst,74.14425428,north,direct,42.0
cf,,nopre,type3,p3,l1,nopc,nob/c,186500,3.5,-0.0398,1537.0,360.0,not_neg,not_int,not_lpsm,248000.0,sb,pr,home,1U,2640.0,CIB,800,CIB,65-74,to_inst,75.2016129,south,direct,32.0
,Male,nopre,type1,p1,l1,nopc,nob/c,476500,3.99,-0.0349,7117.5,360.0,not_neg,not_int,not_lpsm,738000.0,sb,pr,home,1U,6540.0,CIB,753,CIB,45-54,not_inst,64.56639566,north,direct,44.0
cf,Male,nopre,type1,p1,l1,nopc,nob/c,336500,,,,360.0,not_neg,not_int,not_lpsm,,sb,pr,home,1U,3840.0,EQUI,656,EXP,25-34,to_inst,,north,direct,
cf,Joint,nopre,type1,p1,l1,nopc,nob/c,376500,3.5,-0.1151,3720.0,360.0,not_neg,not_int,not_lpsm,468000.0,sb,pr,home,1U,7200.0,EXP,861,EXP,25-34,not_inst,80.44871795,north,direct,20.0
cf,Female,nopre,type2,p4,l1,nopc,b/c,366500,,,,360.0,not_neg,not_int,not_lpsm,418000.0,sb,pr,home,1U,6120.0,CRIF,877,CIB,45-54,not_inst,87.67942584,north,direct,37.0
cf,,nopre,type2,p1,l1,nopc,b/c,316500,4.125,0.7186,0.0,360.0,neg_amm,not_int,not_lpsm,318000.0,sb,pr,home,1U,3780.0,EXP,809,CIB,55-64,not_inst,99.52830189,south,direct,57.0
cf,,nopre,type1,p4,l1,nopc,nob/c,506500,,,,360.0,neg_amm,not_int,not_lpsm,,sb,pr,home,1U,8700.0,EQUI,742,EXP,35-44,to_inst,,south,direct,
cf,,nopre,type1,p2,l1,nopc,nob/c,266500,,,,360.0,neg_amm,not_int,not_lpsm,,sb,pr,home,1U,4500.0,EQUI,601,EXP,35-44,to_inst,,south,direct,
,Male,pre,type1,p1,l1,nopc,nob/c,226500,4.75,0.6965,3442.5,360.0,not_neg,not_int,not_lpsm,258000.0,sb,sr,home,1U,7800.0,CRIF,807,CIB,55-64,to_inst,87.79069767,north,direct,49.0
cf,Female,nopre,type1,p3,l1,nopc,nob/c,306500,3.5,-0.1277,1845.0,360.0,not_neg,not_int,not_lpsm,588000.0,sb,pr,home,1U,2520.0,CIB,623,CIB,>74,not_inst,52.12585034,north,direct,46.0
cf,Male,nopre,type3,p3,l1,nopc,nob/c,186500,4.625,0.2315,1750.0,360.0,not_neg,not_int,not_lpsm,298000.0,sb,pr,home,1U,7200.0,CIB,723,CIB,45-54,to_inst,62.58389262,north,direct,28.0
cf,Male,pre,type3,p3,l1,nopc,nob/c,456500,3.25,-0.535,0.0,360.0,not_neg,not_int,not_lpsm,528000.0,sb,pr,home,1U,7440.0,EXP,826,CIB,55-64,not_inst,86.45833333,north,direct,37.0
cf,,nopre,type1,p1,l1,nopc,nob/c,256500,5.125,1.0358,0.0,360.0,not_neg,not_int,not_lpsm,408000.0,sb,pr,home,1U,5520.0,CRIF,711,EXP,45-54,not_inst,62.86764706,north,direct,47.0
cf,,nopre,type1,p4,l1,nopc,nob/c,546500,3.75,0.2549,5430.0,360.0,not_neg,not_int,not_lpsm,658000.0,sb,pr,home,1U,10500.0,CIB,748,CIB,35-44,not_inst,83.05471125,south,direct,45.0
cf,Joint,nopre,type1,p1,l1,nopc,nob/c,106500,5.75,2.0677,2575.0,360.0,not_neg,not_int,not_lpsm,168000.0,sb,pr,home,1U,2160.0,EXP,659,EXP,65-74,to_inst,63.39285714,north,direct,43.0
cf,Male,nopre,type1,p3,l1,nopc,nob/c,566500,4.125,0.5637,5600.0,360.0,not_neg,not_int,not_lpsm,708000.0,sb,pr,home,1U,11460.0,CIB,566,CIB,35-44,not_inst,80.01412429,north,direct,22.0
cf,,nopre,type1,p3,l1,nopc,nob/c,246500,4.875,0.7473,,360.0,not_neg,not_int,not_lpsm,298000.0,sb,pr,home,1U,8400.0,CRIF,781,EXP,35-44,to_inst,82.71812081,south,direct,30.0
cf,Joint,nopre,type3,p1,l1,nopc,nob/c,536500,4.625,0.4141,976.04,360.0,not_neg,not_int,not_lpsm,528000.0,sb,pr,home,1U,9360.0,CRIF,687,EXP,25-34,not_inst,101.6098485,north,direct,54.0
cf,Male,nopre,type1,p4,l1,nopc,nob/c,256500,3.5,-0.0394,6311.7,360.0,not_neg,not_int,not_lpsm,458000.0,sb,pr,home,1U,5700.0,CIB,791,CIB,45-54,to_inst,56.00436681,north,direct,20.0
cf,Male,nopre,type2,p4,l1,nopc,b/c,226500,,,,360.0,not_neg,not_int,not_lpsm,,sb,pr,home,1U,0.0,EQUI,802,EXP,25-34,to_inst,,north,direct,
cf,Male,nopre,type1,p3,l1,nopc,nob/c,226500,4.99,1.403,4450.0,240.0,neg_amm,not_int,not_lpsm,288000.0,sb,pr,home,1U,4680.0,EXP,644,EXP,55-64,to_inst,78.64583333,north,direct,41.0
cf,Joint,nopre,type2,p3,l1,nopc,b/c,356500,3.375,0.5474,183.47,360.0,not_neg,int_only,not_lpsm,488000.0,sb,pr,home,1U,4320.0,CIB,793,EXP,55-64,not_inst,73.05327869,south,direct,42.0
cf,Female,nopre,type1,p3,l1,nopc,nob/c,306500,3.99,0.5045,5037.5,360.0,not_neg,int_only,not_lpsm,618000.0,sb,pr,home,1U,6300.0,CRIF,622,CIB,45-54,to_inst,49.59546926,north,direct,28.0
cf,Female,nopre,type1,p4,l1,nopc,nob/c,726500,3.875,0.2144,13695.0,360.0,not_neg,not_int,not_lpsm,828000.0,sb,pr,home,1U,9180.0,EXP,548,CIB,25-34,not_inst,87.74154589,south,direct,43.0
cf,Male,nopre,type1,p3,l1,nopc,nob/c,246500,,,,180.0,not_neg,not_int,not_lpsm,258000.0,sb,ir,home,1U,3060.0,CRIF,645,CIB,45-54,to_inst,95.54263566,north,direct,36.0
cf,,nopre,type1,p3,l1,nopc,nob/c,126500,3.99,1.0836,3860.25,240.0,not_neg,not_int,not_lpsm,258000.0,sb,pr,home,1U,5700.0,CIB,871,EXP,55-64,to_inst,49.03100775,south,direct,28.0
cf,,nopre,type2,p4,l1,nopc,b/c,476500,,,,360.0,not_neg,not_int,not_lpsm,,sb,pr,home,1U,0.0,EQUI,683,EXP,45-54,to_inst,,south,direct,
cf,Joint,nopre,type1,p4,l1,nopc,nob/c,506500,3.625,0.024,1189.0,360.0,not_neg,not_int,not_lpsm,728000.0,sb,pr,home,1U,12060.0,CIB,591,EXP,45-54,not_inst,69.57417582,north,direct,33.0
cf,Male,pre,type2,p4,l1,nopc,b/c,526500,3.75,0.5623,0.0,360.0,not_neg,not_int,not_lpsm,618000.0,sb,pr,home,1U,,EXP,544,CIB,25-34,not_inst,85.19417476,north,direct,
cf,Male,nopre,type1,p3,l1,nopc,nob/c,116500,,,,180.0,not_neg,not_int,not_lpsm,138000.0,sb,pr,home,1U,2700.0,EXP,773,CIB,45-54,to_inst,84.42028986,north,direct,41.0
