loan_limit,Gender,approv_in_adv,loan_type,loan_purpose,Credit_Worthiness,open_credit,business_or_commercial,loan_amount,term,Neg_ammortization,interest_only,lump_sum_payment,construction_type,occupancy_type,Secured_by,total_units,income,credit_type,Credit_Score,co-applicant_credit_type,age,submission_of_application,Region,Security_Type,Status
cf,,nopre,type2,p4,l1,nopc,b/c,236500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,,CRIF,758,CIB,45-54,to_inst,south,direct,0
cf,Male,nopre,type1,p3,l2,nopc,nob/c,176500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,4680.0,CRIF,761,CIB,45-54,to_inst,south,direct,0
cf,Joint,nopre,type1,p1,l1,nopc,nob/c,446500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,7140.0,CRIF,778,EXP,35-44,not_inst,south,direct,0
cf,Joint,pre,type2,p1,l1,nopc,b/c,296500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,6600.0,CRIF,868,EXP,35-44,to_inst,north,direct,0
cf,Joint,nopre,type1,p4,l1,nopc,nob/c,456500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,16980.0,EXP,678,EXP,55-64,not_inst,north,direct,0
cf,Female,nopre,type1,p3,l1,nopc,nob/c,126500,180.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,3000.0,EXP,803,CIB,65-74,to_inst,north,direct,0
ncf,,nopre,type1,p3,l1,nopc,nob/c,806500,180.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,21660.0,CRIF,833,EXP,55-64,to_inst,south,direct,0
cf,,nopre,type1,p4,l1,nopc,nob/c,306500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,6120.0,CRIF,652,CIB,65-74,to_inst,south,direct,0
cf,Female,nopre,type1,p4,l1,nopc,nob/c,486500,360.0,neg_amm,not_int,not_lpsm,sb,pr,home,1U,6180.0,CRIF,878,CIB,35-44,not_inst,south,direct,0
cf,Male,nopre,type2,p4,l1,nopc,b/c,296500,360.0,not_neg,not_int,lpsm,sb,pr,home,1U,0.0,EQUI,721,EXP,45-54,to_inst,central,direct,1
cf,Female,nopre,type1,p4,l1,nopc,nob/c,376500,360.0,not_neg,not_int,not_lpsm,sb,pr,home,1U,5820.0,CRIF,766,CIB,55-64,not_inst,north,direct,0
